Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
A. Tchouaméni,Real Madrid,La Liga,Centre-back,23,90000000,2028-06-30,9,754,1,0.59,0,0.6,13.61,57.89,France,"France, Cameroon",right,188,82,no,8,4.18,65.71,2.75,78.26,0.72,1.01,0.6,4.54,6.4,0.95,2,0.24,0,0,0.12,1,0.12,0.07,1,0.12,9,1.07,22.22,11.111,0,1.19,20,0.95,62.5,4.18,45.71,0.48,1.79,0.48,50.85,0.84,61.95,93.83,19.46,90.8,0.07,0.36,7.64,7.04,89.83,0,,0,,0,0,0,0,,,0.72,,0,0
Rúben Dias,Manchester City,Premier League,Centre-back,26,75000000,2027-06-30,7,709,0,0.81,0,0.13,9.14,63.89,Portugal,Portugal,right,187,82,no,6.47,3.68,79.31,2.41,57.89,0,0,0.51,3.55,5.87,0.51,0,0,0,0,0,0,0,0.1,0,0,6,0.76,50,0,0,0.51,50,0.13,100,0.89,57.14,0.89,3.94,0,65.88,0.51,78.96,94.37,22.72,86.59,0.02,0,10.54,6.85,72.22,0,,0,,0,0,0,0,,,1.65,,0,0
Marquinhos,PSG,Ligue 1,Centre-back,29,70000000,2028-06-30,7,600,0,0,0,0.02,10.2,58.82,Brazil,"Brazil, Portugal",right,183,75,no,10.2,5.25,71.43,3.3,45.45,0.15,0.27,1.2,6.3,11.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0.9,33.33,0.3,2.4,0,79.8,0,94.5,96.51,29.25,92.31,0,0,10.65,7.35,89.8,0,,0,,0,0,0,0,,,1.65,,0,0
R. Araújo,Barcelona,La Liga,Centre-back,24,70000000,2026-06-30,4,338,0,0.16,0,0.29,13.31,70,Uruguay,"Uruguay, Spain",right,188,79,no,6.66,5.06,84.21,3.46,69.23,0.53,1.36,0,1.86,4.77,1.33,0,0,0,0,0,0,0,0.04,0,0,2,0.53,50,0,0,0.53,50,1.07,50,2.93,63.64,0.8,4.26,0,50.33,1.07,61.51,95.24,19.97,96,0.08,0.27,10.92,9.59,88.89,0,,0,,0,0,0,0,,,2.93,,0,0
F. de Jong,Barcelona,La Liga,Centre-back,26,60000000,2026-06-30,6,558,1,0.46,0,0.62,16.77,59.62,Netherlands,Netherlands,right,181,74,no,4.68,3.39,57.14,2.58,68.75,0.32,0.64,0.32,2.42,4.79,0.97,2,0.32,0,0,0.16,1,0.16,0.07,0,0,3,0.48,33.33,33.333,0,1.29,37.5,3.55,90.91,8.06,60,1.45,5.16,1.29,73.06,1.29,95,93.72,25.97,87.58,0.1,0.48,16.94,11.29,90,0,,0,,0,0,0,0,,,0.65,,0,0
M. Škriniar,PSG,Ligue 1,Centre-back,28,60000000,,8,780,0,0.28,0,0,11.08,59.38,Slovakia,Slovakia,right,188,79,no,8.19,4.85,69.05,3.58,48.39,0.12,0.21,0.46,4.73,8.54,0.81,1,0.12,0,0,0,0,0,0.03,0,0,2,0.23,0,0,0,0,0,0.12,0,1.04,55.56,0.46,0.35,0,79.85,0.58,99.12,96.74,23.31,88.61,0,0,5.31,6.46,75,0,,0,,0,0,0,0,,,1.38,,0,0
C. Romero,Tottenham Hotspur,Premier League,Centre-back,25,60000000,2027-06-30,8,744,2,0.78,0,0.04,15.12,60.8,Argentina,Argentina,right,185,79,no,9.56,5.2,72.09,4.35,61.11,0.6,1.03,0.73,5.2,8.9,0.73,2,0.24,0,0,0.24,2,0.24,0.09,1,0.12,6,0.73,33.33,33.333,0,0,0,0.36,66.67,2.54,33.33,0.85,0.97,0.24,40.77,0.97,57.82,93.31,21.53,86.52,0.01,0.12,5.56,7.5,74.19,0,,0,,0,0,0,0,,,2.66,,0,0
J. Koundé,Barcelona,La Liga,Centre-back,24,60000000,2027-06-30,9,788,1,0.87,0,0.19,12.11,70.75,France,"France, Benin",right,180,75,no,6.74,3.31,75.86,5.37,68.09,0,0,0.34,4.23,8.67,0.23,0,0,0,0,0.11,1,0.11,0.1,1,0.11,7,0.8,57.14,14.286,0,0.69,83.33,0.69,50,1.6,71.43,0.91,3.08,0.69,59.51,0.46,76.41,93.87,28.67,88.45,0.02,0.34,10.51,10.39,84.62,0,,0,,0,0,0,0,,,2.06,,0,0
D. Upamecano,Bayern München,Bundesliga,Centre-back,24,60000000,2026-06-30,7,632,0,0.47,0,0,13.53,58.95,France,"France, Guinea-Bissau",right,186,90,no,7.97,6.41,64.44,3.28,69.57,0.28,0.47,0.14,3.56,5.81,1.14,1,0.14,0,0,0,0,0,0.07,0,0,3,0.43,33.33,0,0,0,0,0.28,100,1.71,33.33,0.43,2.14,0.71,64.51,0.57,81.88,94.78,23.92,86.31,0,0,9.54,9.4,86.36,0,,0,,0,0,0,0,,,4.13,,0,0
A. Bastoni,Internazionale,Serie A,Centre-back,24,55000000,2028-06-30,7,614,0,0.1,0,0.94,14.66,66,Italy,Italy,left,190,75,no,8.79,8.06,69.09,1.91,61.54,0.44,0.56,0.59,2.79,3.56,1.32,2,0.29,0,0,0,0,0,0.01,0,0,4,0.59,25,0,0,2.79,47.37,0.59,50,2.93,70,1.03,1.61,0.29,42.36,1.47,58.49,90.23,19.93,85.29,0.14,0.73,6.74,10.85,85.14,0,,0,,0,0,0,0,,,1.76,,0,0
